ZCTA5CE20,P1_001N
90001,69321.0
90002,60134.0
90003,47899.0
90004,56580.0
90005,51780.0
90006,48962.0
90007,44283.0
90008,33657.0
90010,7822.0
90011,90907.0
90012,32608.0
90013,13749.0
90014,5792.0
90015,28220.0
90016,44049.0
90017,30711.0
90018,51341.0
90019,60707.0
90020,33488.0
90021,11668.0
90022,56120.0
90023,55065.0
90024,38797.0
90025,46667.0
90026,66061.0
90027,45309.0
90028,38614.0
90029,31158.0
90031,38127.0
90032,43833.0
90033,44237.0
90034,64239.0
90035,30875.0
90036,35175.0
90037,63820.0
90038,22549.0
90039,25666.0
90040,8024.0
90041,27861.0
90042,54606.0
90043,49986.0
90044,113986.0
90045,39150.0
90046,53371.0
90047,40055.0
90048,22941.0
90049,35768.0
90052,0.0
90056,6907.0
90057,41878.0
90058,9351.0
90059,42889.0
90061,26576.0
90062,31082.0
90063,52938.0
90064,26564.0
90065,44678.0
90066,57365.0
90067,3293.0
90068,26197.0
90069,19900.0
90071,4113.0
90073,1192.0
90077,12077.0
90079,0.0
90089,4704.0
90094,10520.0
90095,13527.0
90201,95773.0
90210,21890.0
90211,3892.0
90212,11862.0
90220,53258.0
90221,49741.0
90222,31096.0
90230,33658.0
90232,14901.0
90240,25372.0
90241,45066.0
90242,42482.0
90245,17272.0
90247,47770.0
90248,10901.0
90249,27590.0
90250,101284.0
90254,19728.0
90255,70097.0
90260,36800.0
90262,66063.0
90263,0.0
90265,15730.0
90266,35506.0
90270,25138.0
90272,24863.0
90274,23619.0
90275,44149.0
90277,35689.0
90278,40874.0
90280,94845.0
90290,6494.0
90291,28620.0
90292,26622.0
90293,14568.0
90301,36668.0
90302,28956.0
90303,23678.0
90304,23327.0
90305,15367.0
90401,5478.0
90402,10690.0
90403,24401.0
90404,25070.0
90405,27404.0
90501,43806.0
90502,18967.0
90503,46361.0
90504,34009.0
90505,38042.0
90506,0.0
90601,32029.0
90602,24068.0
90603,19343.0
90604,43263.0
90605,36273.0
90606,30877.0
90620,56560.0
90621,26362.0
90623,14106.0
90630,44107.0
90631,61887.0
90638,48008.0
90639,0.0
90640,64530.0
90650,104684.0
90660,63398.0
90670,21667.0
90680,32373.0
90701,16395.0
90703,49578.0
90704,3322.0
90706,79190.0
90710,28790.0
90712,33215.0
90713,28282.0
90715,21116.0
90716,14149.0
90717,20921.0
90720,26704.0
90723,53733.0
90731,62810.0
90732,20553.0
90740,23014.0
90742,1167.0
90743,0.0
90744,51491.0
90745,53168.0
90746,23867.0
90747,0.0
90755,10273.0
90802,42608.0
90803,32918.0
90804,38163.0
90805,93505.0
90806,43927.0
90807,32884.0
90808,40225.0
90810,45265.0
90813,52860.0
90814,18873.0
90815,43157.0
90822,0.0
90831,0.0
90840,0.0
91001,35679.0
91006,33358.0
91007,37285.0
91008,1264.0
91010,23376.0
91011,20573.0
91016,40113.0
91020,5321.0
91024,11268.0
91030,26943.0
91040,22684.0
91042,26428.0
91046,0.0
91101,19018.0
91103,27591.0
91104,39596.0
91105,11283.0
91106,25198.0
91107,25965.0
91108,12506.0
91125,5523.0
91201,22371.0
91202,27484.0
91203,17202.0
91204,15705.0
91205,39478.0
91206,33206.0
91207,6571.0
91208,16943.0
91210,0.0
91214,32259.0
91301,32050.0
91302,26773.0
91303,32366.0
91304,51933.0
91306,44168.0
91307,26546.0
91311,40929.0
91316,30645.0
91320,46095.0
91321,39602.0
91324,31785.0
91325,29721.0
91326,39076.0
91330,2345.0
91331,97017.0
91335,79858.0
91340,43886.0
91342,90243.0
91343,63483.0
91344,52165.0
91345,18809.0
91350,28695.0
91351,33826.0
91352,49427.0
91354,20329.0
