ZCTA5CE20,P1_001N
19701,46140.0
19702,49555.0
19703,14436.0
19706,0.0
19707,20845.0
19709,41207.0
19710,0.0
19711,42847.0
19713,46778.0
19716,0.0
19717,0.0
19720,60848.0
19730,0.0
19731,6561.0
19732,0.0
19733,0.0
19734,18543.0
19735,0.0
19736,0.0
19801,20407.0
19802,27376.0
19803,21480.0
19804,19747.0
19805,34148.0
19806,10799.0
19807,8225.0
19808,37079.0
19809,15607.0
19810,25727.0
19901,36611.0
19902,108.0
19904,37022.0
19930,2300.0
19931,0.0
19933,4616.0
19934,18930.0
19936,0.0
19938,12761.0
19939,7302.0
19940,4760.0
19941,3744.0
19943,10441.0
19944,580.0
19945,11611.0
19946,0.0
19947,21728.0
19950,8456.0
19951,0.0
19952,7987.0
19953,5289.0
19954,5105.0
19955,0.0
19956,20393.0
19958,24631.0
19960,9952.0
19962,14384.0
19963,19332.0
19964,0.0
19966,28306.0
19967,0.0
19968,20331.0
19970,7632.0
19971,14706.0
19973,26748.0
19975,9488.0
19977,26339.0
19979,0.0
19980,0.0
