ZIPCode,P1_001N
92040,47155
96001,32938
90211,3892
90814,18873
92866,21720
95369,0
96091,4405
93546,7199
95605,12935
93461,3949
94019,15258
90265,15730
95431,0
93285,0
96076,0
95327,13054
95454,0
95675,0
92544,49473
95206,67020
95041,0
95472,29463
95963,14192
92273,0
96078,0
92283,2698
95053,0
90089,0
95246,2172
95514,0
93254,0
95545,0
93207,0
92275,0
92161,0
91371,0
94559,29855
96047,3464
93203,20822
92705,0
93001,0
95448,26877
93923,9079
90002,60134
96032,1759
96051,1408
92285,2801
95032,0
95552,0
93701,8030
92139,33513
92322,3149
95466,3582
95549,0
95563,0
90706,79190
95428,3100
93306,72358
92697,0
96003,44239
93257,80207
92350,0
93550,78157
95219,1494
96013,0
95309,0
93283,0
93453,1074
90604,43263
95631,0
95528,0
92617,25232
95451,5881
92662,2490
93262,0
96007,24463
95521,14596
95404,0
90405,27404
93561,27594
90270,25138
96034,0
92648,0
92371,18266
95435,0
96050,0
93527,2216
92116,37468
93664,0
94707,12018
95458,0
93920,0
95538,0
95317,0
90716,14149
94158,8610
93943,0
92082,38896
93235,4540
96048,0
91108,12506
95490,13973
93728,19297
95340,36221
93581,3660
95548,0
96122,0
93513,0
95941,0
93621,0
92140,2183
96084,0
92239,1725
96117,8786
92364,0
96023,0
95033,7764
90038,22549
91046,0
94018,0
93510,8480
95968,0
91906,5310
95726,12825
93545,0
95971,6519
94525,6237
95419,0
91125,5523
95676,0
90001,69321
92679,27400
95322,7099
96101,3342
95425,10394
95842,29228
95987,6345
93241,15914
95573,0
95913,0
93234,2474
92055,37892
96137,0
96134,0
95564,0
96115,0
92561,3586
92266,756
95978,0
94548,0
94562,0
95632,30826
95634,814
95641,0
95642,3231
95651,0
95667,33156
95684,2137
95685,8302
93657,43058
92222,0
92096,8703
94062,0
93610,23377
91390,35041
96064,3966
95954,7027
91030,26943
93944,0
96112,0
91402,67775
92604,26931
96103,1830
93465,8985
96056,0
95666,5901
96031,0
93532,1516
93543,0
93602,0
93603,0
93606,0
93616,2789
93619,62353
93622,13998
93635,52221
93636,10735
93637,43294
93643,4081
93644,8985
92225,19805
95526,4074
95020,70561
92332,0
95461,4113
93652,0
93653,2273
93665,0
93666,0
93667,2119
93730,12657
93927,24166
93940,0
94105,13894
95470,6018
90713,28282
94939,0
94104,1905
94121,38608
94133,26233
96020,1780
95601,0
95903,2412
94513,71106
94528,4077
94551,51467
94553,51209
94188,0
94574,7133
94576,0
94585,26953
94599,3436
94613,2373
94709,12585
95690,3730
95697,0
95699,0
95713,6569
95720,155
95826,38699
92134,390
96055,0
94941,32132
94952,34811
94963,3910
95007,0
